"ID","word.v","Freq","title","date","author","genre"
1,"tus",3,"A UNA NIÑA","1882","NAJERA","poe"
1,"vida",1,"A UNA NIÑA","1882","NAJERA","poe"
1,"volar",1,"A UNA NIÑA","1882","NAJERA","poe"
1,"voluntades",1,"A UNA NIÑA","1882","NAJERA","poe"
1,"vuela",1,"A UNA NIÑA","1882","NAJERA","poe"
1,"y",7,"A UNA NIÑA","1882","NAJERA","poe"
2,"a",2,"DE MARGARITA","1883","NAJERA","poe"
2,"acerco",1,"DE MARGARITA","1883","NAJERA","poe"
2,"adquirir",1,"DE MARGARITA","1883","NAJERA","poe"
2,"aquí",2,"DE MARGARITA","1883","NAJERA","poe"
2,"beso",1,"DE MARGARITA","1883","NAJERA","poe"
2,"blanco",1,"DE MARGARITA","1883","NAJERA","poe"
2,"breve",1,"DE MARGARITA","1883","NAJERA","poe"
2,"bulle",1,"DE MARGARITA","1883","NAJERA","poe"
2,"cabello",1,"DE MARGARITA","1883","NAJERA","poe"
2,"como",1,"DE MARGARITA","1883","NAJERA","poe"
2,"comprar",1,"DE MARGARITA","1883","NAJERA","poe"
2,"con",3,"DE MARGARITA","1883","NAJERA","poe"
2,"cuello",1,"DE MARGARITA","1883","NAJERA","poe"
2,"de",4,"DE MARGARITA","1883","NAJERA","poe"
2,"diosa",1,"DE MARGARITA","1883","NAJERA","poe"
2,"el",2,"DE MARGARITA","1883","NAJERA","poe"
2,"en",2,"DE MARGARITA","1883","NAJERA","poe"
2,"enroscas",1,"DE MARGARITA","1883","NAJERA","poe"
2,"eso",1,"DE MARGARITA","1883","NAJERA","poe"
2,"está",1,"DE MARGARITA","1883","NAJERA","poe"
2,"este",1,"DE MARGARITA","1883","NAJERA","poe"
2,"hablar",1,"DE MARGARITA","1883","NAJERA","poe"
2,"hermosura",1,"DE MARGARITA","1883","NAJERA","poe"
2,"la",1,"DE MARGARITA","1883","NAJERA","poe"
2,"lo",2,"DE MARGARITA","1883","NAJERA","poe"
2,"los",2,"DE MARGARITA","1883","NAJERA","poe"
2,"malicia",1,"DE MARGARITA","1883","NAJERA","poe"
2,"más",1,"DE MARGARITA","1883","NAJERA","poe"
2,"me",1,"DE MARGARITA","1883","NAJERA","poe"
2,"miro",1,"DE MARGARITA","1883","NAJERA","poe"
2,"mundo",1,"DE MARGARITA","1883","NAJERA","poe"
2,"muy",1,"DE MARGARITA","1883","NAJERA","poe"
2,"nada",1,"DE MARGARITA","1883","NAJERA","poe"
2,"oh",1,"DE MARGARITA","1883","NAJERA","poe"
2,"ojos",1,"DE MARGARITA","1883","NAJERA","poe"
2,"oro",1,"DE MARGARITA","1883","NAJERA","poe"
2,"papel",1,"DE MARGARITA","1883","NAJERA","poe"
2,"para",1,"DE MARGARITA","1883","NAJERA","poe"
2,"pedacito",1,"DE MARGARITA","1883","NAJERA","poe"
2,"pequeños",1,"DE MARGARITA","1883","NAJERA","poe"
2,"por",1,"DE MARGARITA","1883","NAJERA","poe"
2,"que",2,"DE MARGARITA","1883","NAJERA","poe"
2,"reliquia",1,"DE MARGARITA","1883","NAJERA","poe"
2,"respiro",1,"DE MARGARITA","1883","NAJERA","poe"
2,"rizo",2,"DE MARGARITA","1883","NAJERA","poe"
2,"robé",1,"DE MARGARITA","1883","NAJERA","poe"
2,"rostchild",1,"DE MARGARITA","1883","NAJERA","poe"
2,"si",2,"DE MARGARITA","1883","NAJERA","poe"
2,"sin",1,"DE MARGARITA","1883","NAJERA","poe"
2,"son",1,"DE MARGARITA","1883","NAJERA","poe"
2,"sueños",1,"DE MARGARITA","1883","NAJERA","poe"
2,"tal",1,"DE MARGARITA","1883","NAJERA","poe"
2,"tengo",1,"DE MARGARITA","1883","NAJERA","poe"
2,"tesoro",1,"DE MARGARITA","1883","NAJERA","poe"
2,"travesura",1,"DE MARGARITA","1883","NAJERA","poe"
2,"travieso",1,"DE MARGARITA","1883","NAJERA","poe"
2,"trenza",1,"DE MARGARITA","1883","NAJERA","poe"
2,"triste",1,"DE MARGARITA","1883","NAJERA","poe"
2,"tu",2,"DE MARGARITA","1883","NAJERA","poe"
2,"un",1,"DE MARGARITA","1883","NAJERA","poe"
2,"vanderbilt",1,"DE MARGARITA","1883","NAJERA","poe"
2,"voy",1,"DE MARGARITA","1883","NAJERA","poe"
2,"y",3,"DE MARGARITA","1883","NAJERA","poe"
3,"a",2,"PARA UN ALBUM","1883","NAJERA","poe"
3,"abrazarla",1,"PARA UN ALBUM","1883","NAJERA","poe"
3,"afrodita",1,"PARA UN ALBUM","1883","NAJERA","poe"
3,"aguarda",1,"PARA UN ALBUM","1883","NAJERA","poe"
