autor,titulo,universidad,director,año,país,género,misc
"ABAD-MANCHEÑO, Alfonso",A Study of the Effect of Study Abroad and the Homestay on the Development of Linguistic and Interactional Practices by Spanish L2 Leamers,Texas,Koike,2008,Linguistics Spanish Linguistics,Spanish,Second Language Acquisition
"ALAMILLO REIG, María Asela",Nuil Object and Neuter “lo” in Peninsular and Mexican Spanish,Ohio State,Schwenter,2008,Linguistics Spanish Linguistics,Spanish,Theoretical
"APONTE MORENO, Marco A","Metaphors in Hugo Chávez’s Political Discourse:	Conceptualizing Nation, Revolution and Opposition",CUNY,Del Valle,2008,Linguistics Spanish Linguistics,Spanish,Sociolinguistic
"BROWN, Earl Kjar",A Usage-Based Account of Syllable- and Word-final /s/ Reduction in Four Dialects of Spanish,New México,Torres Cacoullos,2008,Linguistics Spanish Linguistics,Spanish,Theoretical
"BURGA, Alicia",Spanish Subjects,Illinois,Arregui-Urbina,2008,Linguistics Spanish Linguistics,Spanish,Múltiple Areas
"BURGO, Clara",Tense and Aspect Grammaticalization in Bilbao Spanish,"Illinois, Chicago",Cameron,2008,Linguistics Spanish Linguistics,Spanish,Sociolinguistic
"CARRASCO, Patricio",An Analysis of Voiced Stop Allophony in Costa Rican Spanish,Illinois,Hualde,2008,Linguistics Spanish Linguistics,Spanish,NA
"DUBORD, Elise M",Performing Bilin- gualism: An Ethnographic Analysis of Discursive Practices at a Day-Labor Center in the Southwest,Arizona,Carvalho,2008,Linguistics Spanish Linguistics,Spanish,Sociolinguistic
"FUENTES, Rocío M",The Discursive Construction of Intercultural Education in the Mexican Indigenous Context,Pittsburg,Kiesling,2008,Linguistics Spanish Linguistics,Spanish,Múltiple Areas
"GÓMEZ, Tania C",Descripción del acto de habla de la disculpa: Un análisis del habla colombiana,Minnesota,Ocampo,2008,Linguistics Spanish Linguistics,Spanish,Múltiple Areas
"HNAT, Ana María",Posesivos redun­dantes en el español de México y Estados Unidos,Houston,Gutiérrez,2008,Linguistics Spanish Linguistics,Spanish,Múltiple Areas
"HUBERT, Michael, D",The Relationship between Writing and Speaking in the US University Spanish-Language Classroom,Purdue,Hammond,2008,Linguistics Spanish Linguistics,Spanish,Second Language Acquisition
"JOVANOVIC, Ana",Student and Teacher Perceptions of Their Leaming Environ- ment,Purdue,Hammond,2008,Linguistics Spanish Linguistics,Spanish,Second Language Acquisition
"LOUREIRO-RODRÍGUEZ, Verónica",Language Attitudes and Valúes among Galician Adolescents,"California, Davis",Timm,2008,Linguistics Spanish Linguistics,Spanish,Múltiple Areas
"MAST, Douglas Wayne",The Effects of Contextual and Non-contextual Strategies on Spanish Vocabulary Acquisition by Middle School Students,Temple,Holmquist,2008,Linguistics Spanish Linguistics,Spanish,Second Language Acquisition
"MEJÍA GÓMEZ, Magdalena","Ándale, Apágale, Órale!: La(socio)pragmáticade la construcción “le” en el español mexi­cano",Ohio State,Schwenter,2008,Linguistics Spanish Linguistics,Spanish,Theoretical
"MURPHY, Mellisa Dae","The Role of Typological Drift in the Development of the Romance Subjunctive: A Study in Word Order Change, Grammaticalization and Synthesis",Texas,Hensey,2008,Linguistics Spanish Linguistics,Spanish,Other
"QUINTANILLA, José",The Pluralizaron of Spanish haber in Salvadoran Spanish: A Change in Progress?,Florida,Pharies,2008,Linguistics Spanish Linguistics,Spanish,Sociolinguistic
"SIMONET, Miguel",Language Contact in Majorca: An Experimental Socio- phonetic Approach,Illinois,Hualde,2008,Linguistics Spanish Linguistics,Múltiple Languages,Múltiple Areas
"VELAZQUEZ, María Isabel","Intergenerational Spanish Language Transmission: Attitudes, Motivations, and Linguistic Practices in Two Mexican-American Communities",Illinois,Escobar,2008,Linguistics Spanish Linguistics,Spanish,Múltiple Areas
"VIGIL, Donny A","The Traditional Spanish of Taos, New México: Acoustic, Phonetic and Phonological Analyses",Purdue,Hammond,2008,Linguistics Spanish Linguistics,Spanish,Múltiple Areas
"BAUGHER, Joyce","Feminist Vision: Visual Art, the Act of Writing, and the Female Body in the Novéis of Clarice Lispector, Lya Luñ, and Diamela Eltit",Tulane,Dunn,2008,Multi-Regional,Novel/Short Story,NA
"CARLSEN, George Arthur",The Novel in México and Brazil in the Age of Globalization and Information Tech­nology,"California, Riverside",Williams,2008,Multi-Regional,Novel/Short Story,NA
"DEL RIO, Irune",Errant Family Ties: Migratory Identities in Latina and Hispanic Female Cultural Products,Illinois,Goldman,2008,Multi-Regional,Multi-Generic,NA
"MÉNDEZ, Danny",In Zones of Contact (Combat): Dominican Narrad ves ofMigration and Displacements in the United States and Puerto Rico,Texas,Arroyo- Martínez,2008,Multi-Regional,Novel/Short Story,NA
"NASH, Lyle Scott",White Fears and Fantasies: Writing the Nation in Post- Abolition Brazil and Cuba,Rutgers,Stephens,2008,Multi-Regional,Essay,NA
"NASSER, Michelle","Tra(n)zando Identidades: Colombian Neighborhoods, Images, and Narratives from Narco- trafficking to Beauty Queens",Rutgers,Avelar,2008,Multi-Regional,Multi-Generic,NA
"NEWCOMB, Robert Patrick",Nuestra América: Brazil in the Late-Nineteenth and Early-Twentieth Century Intellectual Construction of Latin America,Brown,Vieira,2008,Multi-Regional,Essay,NA
"OSWALD, Frida","Literatura testimonial de las dictaduras: Argentina, Bolivia, Chile y Brasil, un estudio comparativo","California, Riverside",Antebi,2008,Multi-Regional,Multi-Generic,NA
"RUDOLPH, Jennifer","“Roncamos por­que podemos”: Racialization, Redemption, and Mascu-latinidad","Illinois, Chicago",Aparicio,2008,Multi-Regional,Multi-Generic,NA
"SADEK, Isis Marie-Gabrielle","Tierras, regiones y zonas políticas y poéticas de espacios no-urbanos en los sesenta en Brasil y Argentina",Duke,Nouzeilles,2008,Multi-Regional,Multi-Generic,NA
"VILLARROEL, Carolina A","La mujer mexicana ante el feminismo: nación, género, clase y raza en la literatura femenina del destierro (1910-1940)",Houston,Kanellos,2008,Multi-Regional,Other,NA
"ALVAREZ-GARCIA, José Ignacio",Mas- culinidad como espectáculo: Modernidad y consumismo en España (1898-1931),Illinois,Delgado,2008,Spain,Multi-Generic,NA
"ÁLVAREZ-MORENO, Raúl","Lenguaje, ideología y conflicto semántico en Castilla a finales del siglo XV: Hacia un estudio del significado como contienda y de sus consecuencias en Celestina",Michigan State,Snow,2008,Spain,Drama,NA
"BECK, Emily S",Waging War With Words: Idealized Gender and Iberian Chivalry,New York,Grieve,2008,Spain,Multi-Generic,NA
"BELLO-BRAVO, María Julia",Coexisten­cia de los diferentes discursos patriarcales y efectos desarrollados en la novela de escritoras de la Restauración: La moda como liberación de la mujer,Purdue,Sánchez-Llama,2008,Spain,Multi-Generic,NA
"BEZHANOVA, Olga",Spanish Bildungsroman in the Twentieth Century: Trajectory of the Genre,Yale,Valis,2008,Spain,Novel/Short Story,NA
"CAHILL, Paul","De(con)structive Devices: Post-Structuralism and Post-Marxism in Spanish Poetry, 1968-1972","California,Irvine",Aviles and Robbins,2008,Spain,Poetry,NA
"CANTELI VIGÓN, Marcos",Transitar el parpadeo: Seis poetas españoles,Duke,Dorfman,2008,Spain,Poetry,NA
"FERNÁNDEZ, María Ángeles",Tradición e inovación en las Novelas a Marcia Leonarda de Lope de Vega,Texas,Zimic,2008,Spain,Novel/Short Story,NA
"GÓMEZ-CASTELLANO, Irene",Máscaras y autorretratos: El yo poético en la poesía rococó española,Virginia,Gies,2008,Spain,Poetry,NA
"GUERRERO-PHLAUM, Martha Elva",Benefíts and Gifts: The Economy of Exchange in Spain’s Golden Age,"California, Irvine",Aviles,2008,Spain,Multi-Generic,NA
"LOMAS-SAMPEDRO, Esther",El Madrid postmodemo: Identidades en proceso de cambio en el postfranquismo,SUNY Stony Brook,Vemon,2008,Spain,Multi-Generic,NA
"MARTÍNEZ, Agustín Cuadrado",Las prácticas cotidianas castellanas: Hacia el imaginario cartográfico de Miguel Delibes,Arizona,Compitello,2008,Spain,Novel/Short Story,NA
"NEUMAYER, Kristin M",Index and Study of Plot Motifs in Some Spanish Libros de caballerías,Wisconsin,Corfis,2008,Spain,Novel/Short Story,NA
"PAOLINI, David","Las “Coplas de Mingo Revulgo ” Estudio preliminar, edición crí­tica y notas",CUNY,Di Camillo,2008,Spain,Poetry,NA
"PÉREZ-TORIBIO, Montserrat","Profession, Vocation or Duty? Economic Discourses of Woman’s Work in Golden Age Literature","Illinois, Chicago",Hemández- Pecoraro,2008,Spain,Multi-Generic,NA
"PICALLO, Marcia",Ecos de la influencia de Antonio de Guevara en la obra de John Lyly,CUNY,Lemer,2008,Spain,Other,NA
"SIMPSON, Catherine","The Persistence of Difference: Mythologies of Essentialism, the Anglophone World and Modem Spanish Cultural Identity",SUNY Stony Brook,Flesler,2008,Spain,Multi-Generic,NA
"VILLAMIL-ACERA, Rakhel",La construc­ción del diálogo teatral en el teatro cómico español (1898-1936): El discurso humanístico en el contexto social,"California, Berkeley",Azevedo and Dougherty,2008,Spain,Drama,NA
"YANG, Lucía J","La obra de Santa Teresa: La vida y las moradas. Una perspectiva taoista, confucionista y budista",Ohio State,Amell,2008,Spain,Historiography,NA
"ZACKIN, Jane Robin","A Jew and his Milieu: Allegory, Polemic, and Jewish Thought in Sem Tob’s Proverbios Morales and Ma’Aseh Ha Rav",Texas,Bailey,2008,Spain,Other,NA
"AZUAJE, Víctor",Sacrificio y retórica en José Antonio Ramos Sucre,Temple,Aldarondo,2008,Spanish America,Poetry,NA
"BATES, Lourdes",Materia inmortal: Ima­gen y palabra en libros de artista en México,"California, Irvine",Bruce-Novoa,2008,Spanish America,Other,NA
"BURK, Alexandria","Rewriting the Literary Realm: The Intellectual and Autobiographical Essays of Rosario Castellanos, Brianda Domecq, and Bárbara Jacobs",Boston College,Rosser,2008,Spanish America,Essay,NA
"CARLO, Senén E","Validación de metadiscursos científicos y filosóficos en la obra de Cambaceres, Darío y Lugones",Temple,Aldarondo,2008,Spanish America,Novel/Short Story,NA
"CARTE, RebeccaAnn",Framing Frontiers: Landscape and Discourse in Baltasar de Obregón’ s Historia de los descubrimientos de Nueva España (1584),Ohio State,Ahem,2008,Spanish America,Novel/Short Story,NA
"DOVALPAGE, Teresa Caridad",De señora casera a jinetera: Imágenes de la mujer en la narrativa cubana del siglo XX y principios del XXI,New México,López,2008,Spanish America,Novel/Short Story,NA
"ELIAS, Olivia",Performing género y sexualidad en la narrativa de Rosina Conde y Rosario San Miguel,Arizona,Rivero,2008,Spanish America,Novel/Short Story,NA
"GARIBOTTO, Verónica","Contornos en negativo: Reescrituras posdictatoriales del Siglo XIX (Argentina, Chile y Uruguay)",Pittsburgh,Martin,2008,Spanish America,Multi-Generic,NA
"GONZÁLEZ DIETER, Gisela",Entre La Habana y la sábana: Límites de la topografía cultural dentro de la revolución cubana como un evento regido por la modernidad,Pittsburgh,Branche,2008,Spanish America,Poetry,NA
"GONZÁLEZ, Mabel",Manuel Bilbao y la primera novela histórica chilena Edición anotada de El inquisidor mayor,CUNY,Schwartz,2008,Spanish America,Novel/Short Story,NA
"HOWARD, Keith",The Reception and Translation of Machiavelli in Early Modern Spain,Virginia,Gerli,2008,Spanish America,Multi-Generic,NA
"LAHR-VIVAZ, Elena Elisabeth",Unconsummated Desires and the Fragmented Nation: Contemporary Latin American Film and Fiction,Penn,Alonso,2008,Spanish America,Multi-Generic,NA
"LANCTOT, Brendan Harrison",Literature and the Production of National Space in Nineteenth-Century Argentina,Columbia,Montaldo,2008,Spanish America,Multi-Generic,NA
"MADERA, Teonilda","Polifonía, corporei­dad y memoria en el universo poético de César Vallejo y de Blanca Varela",CUNY,Reisz,2008,Spanish America,Poetry,NA
"MARTÍNEZ, Eduardo Abud","La re-visión de la Historia en la ficción de mujeres latinoamericanas Isabel Allende, Giocon­da Belli, Carmen Boullosa y Ana Miranda",Arizona,Rivero,2008,Spanish America,Novel/Short Story,NA
"MARTÍNEZ, Guillermo","Mito, fábula y adivinación en “¡Oh Mío Yemay!” de Rómulo Lachataeré, “Cuentos negros de Cuba” de Lydia Cabrera y “Cuentos y leyendas negras de Cuba” de Ramón Guirao",CUNY,Chang-Rodríguez,2008,Spanish America,Novel/Short Story,NA
"MCDOWELL, Lila","The Utopian Impulse in Chilean and Mexican Novéis, 1990­2005","California, Riverside",Williams,2008,Spanish America,Novel/Short Story,NA
"MIRANDA-RECINOS, Gabriela","El espacio urbano en la novela de dos generaciones de México y Colombia Generación del Medio Siglo, Grupo Mito (1955-65) y Generación Noventa (1996­2006)","California, Riverside",Williams,2008,Spanish America,Novel/Short Story,NA
"MUTIS, Ana María",Voices that Kill: Violent Narrators in Contemporary Latin American Fiction,Virginia,Pellón,2008,Spanish America,Novel/Short Story,NA
"NEFTALÍ RECINOS, José",La novela postestimonial de México y Centro América (1994-2004),"California, Riverside",Williams,2008,Spanish America,Novel/Short Story,NA
"NOGAR, Anna María",La Monja Azul: The Political and Cultural Ramifications of a 17th Century Mystical Transatlantic Joumey,Texas,Salgado,2008,Spanish America,Novel/Short Story,NA
"OVANDO-KNUTSON, Cynthia María",Embodied Pain and Transformative Allegories in Four Latín American Novéis of Dictatorship,"California, Irvine",Guerro- Cunningham,2008,Spanish America,Novel/Short Story,NA
"PÉREZ, Rolando",The Pictorial Figure in the Work of Severo Sarduy,CUNY,Montero,2008,Spanish America,Novel/Short Story,NA
"QUEIRO, Luz","Imágenes de la mujer en la obra de Amelia Francasci, escritora dominicana del XIX",CUNY,Reisz,2008,Spanish America,Novel/Short Story,NA
"RAMÍREZ ARBALLO, Alejandro A",La poética de Olga Orozco como proyección estética del pensamiento moderno: Un modelo de doble lectura,Arizona,Rivero,2008,Spanish America,Poetry,NA
"REAGAN, Patricia Elaine","The Other “1”: The New Narcissism of Postmodemism First Person Non-Protagonist Narrators in Novéis by José Donoso, Elena Garro, Gabriel García Márquez and Mario Vargas Llosa",Virginia,Shaw,2008,Spanish America,Novel/Short Story,NA
"REDMOND, Erin Hilda",Square Pegs: The Political Function of Ambiguous Gender and Sexuality in Three Novéis from the Southern Cone,Texas,Lindstrom,2008,Spanish America,Novel/Short Story,NA
"RÍOS-SORIA, Olga",Políticas de transfor­mación y liberación social en la narrativa de Luis Humberto Crosthwaite,New México,López,2008,Spanish America,Novel/Short Story,NA
"RODRÍGUEZ, Rafael",Fuentes de la imaginación histórica en la narrativa de Marcio Veloz Maggiolo,CUNY,Filer,2008,Spanish America,Novel/Short Story,NA
"SAENZ-ROBY, Cecelia",La fundación de la nación en la narrativa de Juana Manuela Gorriti,Missouri,Olsen,2008,Spanish America,Novel/Short Story,NA
"SANTANA, Analola",Reapropiaciones de la cultura de masas por el teatro en Amé­rica Latina,"California, Irvine",Villegas,2008,Spanish America,Drama,NA
"SCHUSTER, CindyLee",Representaciones de ausencia: intersecciones de memoria y política en la ficción latinoamericana (1965-2005),"California, Irvine",Amar Sánchez,2008,Spanish America,Novel/Short Story,NA
"TORRES, José de Jesús","La tierra mexicana, la presencia de la mujer y el sentimiento amoroso en el espacio-tiempo de la narrativa Cristera","California, Irvine",Bruce-Novoa,2008,Spanish America,Novel/Short Story,NA
"TRELLES, Diego","La novela policial alternativa en Hispanoamérica: Detectives perdidos, asesinos ausentes y enigmas sin respuesta",Texas,Lindstrom,2008,Spanish America,Novel/Short Story,NA
"Vélez Rendón, Ana Patricia",Race and Class in Nineteenth Century Colombia: A Heterogeneous Representation of a Nation,Purdue,Stephenson and No,2008,Spanish America,Chronicle,NA
"VILLATE-ISAZA, Alberto",Escritura y disfraz: El caso de El Carnero de Juan Rodríguez Freile,Boston College,Beckjord,2008,Spanish America,Historiography,NA
"ZARAGOZA, Socorro","Church, State, and Literature: Constructing the Affo-Female Body in Colonial México",Purdue,Stephenson,2008,Spanish America,Multi-Generic,NA
"BOISSET-BRINDLE, Rosa María",Los Andes y España en la dramaturgia quechua-colonial,Purdue,Mancing,2008,Trans-Atlantic,Drama,NA
"CABALLERO ROCA, Gloria Alicia","Allegory, History and Fiction in the Works of Alejo Carpentier and José Saramago",Massachusetts,Orneias,2008,Trans-Atlantic,Novel/Short Story,NA
"DÍAZ REATEGUI, Karen","EI Bildungsroman posnacional y la influencia de los medios audiovisuales: Globalización, hiperrealidad y dehistorización en la novela de la generación X/McOndo",Arizona State,Foster,2008,Trans-Atlantic,Novel/Short Story,NA
"NAJERA, Luna","Writing Empire, Justifying War: Roy al Censorship of Texts by Sepúlveda and Bemal Díaz del Castillo",Comell,Garcés,2008,Trans-Atlantic,Multi-Generic,NA
"PASCUCCI, Michele Marie",Entre México y Asia: Imagen y poesía en la obra de José Juan Tablada,Salamanca,García Bermejo Giner,2008,Trans-Atlantic,Poetry,NA
"SANTANA, Miguel Ángel",Homometrías: Representaciones de deseo homosexual en la literatura del Siglo de Oro español,Texas,Reed,2008,Trans-Atlantic,Multi-Generic,NA
"WONG, Yee-Lam Mariela",Libertadores y locos: Los héroes en la imaginación de la literatura hispánica finisecular del siglo XIX,SUNY Stony Brook,"Roncero- López, Victoriano",2008,Trans-Atlantic,Multi-Generic,NA
"ZINNI, Mariana",El descubrimiento de América y la invención de un nuevo espacio hermenêutico: Las alternativas de la mimesis y el surgimiento de una modernidad contaminada,Pittsburgh,Herlinghaus,2008,Trans-Atlantic,Multi-Generic,NA
"BÁEZ-SMITH, Nalda R","The Exile Experience: Social Class, Language, Gender Roles, and Identity in Selected Texts of Julia Alvarez, Loida Maritza Pérez, Junot Díaz:	Dominican-American Writers",Purdue,Stinchcomb,2008,United States,United States,NA
"BLAUMAN, Wendy","Language and Border Crossings in the Works of Julia Alvarez: Identity, Homeland, Education, and Orality",CUNY,Reisz,2008,United States,United States,NA
"NOEL, Tomás Urayoan","NYPR Blues: Experimentalism, Performance, and the Articulation of Diaspora in Nuyorican Poetry",New York,Aching,2008,United States,Poetry,NA
